appid,name,genres,tags,release_date,current_players,collected_at
603210,Valkyries,[],[],"17 Sep, 2018",0,2026-03-17T22:47:45.069149
3215050,Surviving Mars: Relaunched,"['Simulation', 'Strategy']",[],"10 Nov, 2025",371,2026-03-17T22:47:47.567266
2818530,Conquering Ciros,"['Action', 'RPG', 'Early Access']",[],"12 Mar, 2024",0,2026-03-17T22:47:50.292880
3934350,CardFarm,"['Casual', 'Indie', 'RPG', 'Simulation', 'Strategy', 'Early Access']",[],To be announced,0,2026-03-17T22:47:53.159868
4221910,Plague Doctor: Life in Pestilence,"['Adventure', 'Indie', 'Simulation']",[],Coming soon,0,2026-03-17T22:47:56.027476
254880,MoonBase Commander,['Strategy'],[],"6 Feb, 2014",0,2026-03-17T22:47:58.689390
2955320,Horse Runner DX,"['Action', 'Casual', 'Indie']",[],"6 Mar, 2025",1,2026-03-17T22:48:01.658187
896460,Lucah: Born of a Dream,"['Action', 'Indie', 'RPG']",[],"21 Aug, 2018",0,2026-03-17T22:48:04.217919
4475560,Bright Light,"['Action', 'Casual', 'Indie']",[],To be announced,0,2026-03-17T22:48:07.003584
4236700,FireMatch Empire,"['Simulation', 'Strategy']",[],Coming soon,0,2026-03-17T22:48:09.851479
2728050,Scratchin' Melodii,['Indie'],[],Coming soon,0,2026-03-17T22:48:12.717976
4501510,Sorcery Mastery,"['Action', 'Indie', 'RPG', 'Free To Play']",[],To be announced,0,2026-03-17T22:48:15.535470
1845780,Shape Boxed,"['Casual', 'Indie']",[],"24 Dec, 2021",0,2026-03-17T22:48:18.144980
2277070,Please FUCK ME my SEXY neighbor,"['Action', 'Adventure', 'Casual', 'Indie', 'RPG', 'Simulation', 'Sports']",[],"10 Feb, 2023",0,2026-03-17T22:48:20.698889
3536660,Scary Shadow Spot - All In,"['Action', 'Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy', 'Early Access']",[],"19 Dec, 2025",0,2026-03-17T22:48:23.535693
4294790,Powered Wheelchair Simulation,"['Action', 'Indie', 'Simulation', 'Free To Play']",[],October 2026,0,2026-03-17T22:48:26.439578
363600,Holy Potatoes! A Weapon Shop?!,"['Indie', 'Simulation']",[],"13 Jul, 2015",4,2026-03-17T22:48:29.307162
725970,COMBAT INSTINCT,"['Action', 'Adventure', 'Indie', 'RPG', 'Sports']",[],"19 Oct, 2017",0,2026-03-17T22:48:31.866489
673870,Math Combat Challenge,"['Action', 'Indie', 'Simulation']",[],"3 Nov, 2017",0,2026-03-17T22:48:34.426539
3408670,Stranger's Worlds,"['Action', 'Adventure', 'Indie', 'RPG']",[],To be announced,0,2026-03-17T22:48:37.294822
1591410,Into the Knight,"['Action', 'Indie']",[],"30 Apr, 2021",0,2026-03-17T22:48:40.161503
3234760,Orange Roulette,"['Action', 'Simulation', 'Strategy']",[],"7 Oct, 2024",1,2026-03-17T22:48:43.130196
4338120,Glorgorian Weather Initiative,"['Indie', 'Simulation', 'Strategy']",[],To be announced,0,2026-03-17T22:48:46.099482
4190000,Bit Breaker,"['Action', 'Casual', 'Indie', 'Strategy']",[],Coming soon,0,2026-03-17T22:48:49.069421
2177810,Once in a Blue Moon,['Casual'],[],"21 Nov, 2022",0,2026-03-17T22:48:51.628578
3023870,Cosmic Remnants,"['Adventure', 'Indie', 'Simulation']",[],Coming soon,0,2026-03-17T22:48:54.497056
346330,BrainBread 2,"['Action', 'Adventure', 'Indie', 'Free To Play']",[],"9 Mar, 2022",7,2026-03-17T22:48:57.056767
2499310,Foggy Rainfall Escapade,"['Action', 'Adventure', 'Casual', 'Indie']",[],"2 Oct, 2023",0,2026-03-17T22:48:59.616416
3951370,VULTURE - The Droner,"['Action', 'Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy']",[],Coming soon,0,2026-03-17T22:49:02.585955
466810,Soulslayer～灭魂·误佳期～,"['Adventure', 'Casual', 'Indie']",[],"13 Jul, 2017",0,2026-03-17T22:49:05.146419
3623230,Midnight Souvenirs,['Casual'],[],Q2 2026,0,2026-03-17T22:49:08.012841
3025160,Pirates Outlaws 2: Heritage,"['Adventure', 'Casual', 'Indie', 'Strategy', 'Early Access']",[],"3 Dec, 2025",3,2026-03-17T22:49:10.778619
2870420,Mech Builder,['Indie'],[],"16 Jul, 2024",5,2026-03-17T22:49:13.337562
1118670,Space raven quest - Tiny planet,"['Adventure', 'Indie']",[],"26 Jul, 2019",0,2026-03-17T22:49:16.104040
3348570,The Line of Defense,"['Adventure', 'Casual', 'Indie', 'Sports']",[],"9 Jan, 2025",0,2026-03-17T22:49:18.867793
893420,Harvested,"['Action', 'Strategy']",[],"20 Mar, 2021",0,2026-03-17T22:49:21.326607
421140,Blades of the Righteous,"['Casual', 'Indie', 'Strategy']",[],"7 Mar, 2016",0,2026-03-17T22:49:23.885156
1787030,Safari Cannon,['Casual'],[],"28 Oct, 2021",4,2026-03-17T22:49:26.445641
1363900,Farworld Pioneers,"['Action', 'Adventure', 'Indie', 'Simulation']",[],"30 May, 2023",1,2026-03-17T22:49:29.005089
684700,Celestian Tales: Realms Beyond,"['Indie', 'RPG']",[],"7 May, 2020",0,2026-03-17T22:49:31.667923
4348940,Zombie Emperor,"['Action', 'Casual']",[],"14 Feb, 2026",0,2026-03-17T22:49:34.637787
733040,Cube Defender 2000,"['Action', 'Casual', 'Indie']",[],"18 Oct, 2018",0,2026-03-17T22:49:37.197051
4049790,Puppy Love,['Indie'],[],To be announced,0,2026-03-17T22:49:40.167756
2669560,Kumi-Daiko Beatoff,"['Action', 'Casual', 'Indie', 'Sports']",[],"12 Feb, 2024",0,2026-03-17T22:49:42.727033
851650,LOGistICAL: ABC Islands,"['Casual', 'Free To Play', 'Indie', 'Strategy']",[],"4 May, 2018",1,2026-03-17T22:49:45.287581
